Title,Product Link,Price,Rating
"Cortina Premium Silicon Door Mat, Bathroom Carpet, Cushion Mat Super Absorbent Soft Carpet, Quick Dry Dirt Barrier for Home, Office, (60x40), Green",https://www.amazon.in/Cortina-Door-Mat-Bathroom-Absorbent/dp/B0CV4DJZD3/ref=zg_bs_g_kitchen_d_sccl_1/000-0000000-0000000?psc=1,₹313.88,4.0 out of 5 stars
"Presto! Garbage Bags, Medium - (19 x 21 Inches) - 30 Bags/Roll, 180 Count (Pack Of 6, Black), Plastic",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=zg_bs_g_kitchen_d_sccl_2/000-0000000-0000000?psc=1,₹368.50,4.4 out of 5 stars
"JIALTO Adhesive Hooks Heavy Duty Wall Hooks, Nail Hook for Hanging Coat, Hat,Towel Robe Hook Rack Wall Mount- Bathroom and Bedroom Hooks for Wall Without Drilling (Nail Hook Trasparent 10 Pack)",https://www.amazon.in/Jialto-Adhesive-Hooks-Transparent-Improvement/dp/B08X2R1HM5/ref=zg_bs_g_kitchen_d_sccl_3/000-0000000-0000000?psc=1,₹212.00,4.1 out of 5 stars
"BSB HOME Cotton Pillow Cover/Case Set (2 Pcs) - 18""x28"" inches, Grey&White",https://www.amazon.in/BSB-HOME-Cotton-Pillow-Cover/dp/B0BN8949QC/ref=zg_bs_g_kitchen_d_sccl_4/000-0000000-0000000?psc=1,₹154.00,4.0 out of 5 stars
"BSB HOME Microfiber 144 TC Aspire 2.O Collections Soft Breathable Wrinklefree Cheks Printed Double Bedsheets with 2 Regular Size Pillow Covers, Color Black Grey and White",https://www.amazon.in/BSB-HOME-Microfiber-Collections-Wrinklefree/dp/B0CQN5VZVC/ref=zg_bs_g_kitchen_d_sccl_5/000-0000000-0000000?psc=1,₹238.00,4.0 out of 5 stars
"Status Contract Anti Slip Front Door Mat|(38x58cm) Living Room Rug for Entrance Doors|Polypropylene Floor Mat for Home|Essential Small Rug for Office, Bedroom & Kitchen| (Blue)",https://www.amazon.in/Status-Luxury-Premium-Polypropylene-Doormats/dp/B09GPJL4P9/ref=zg_bs_g_kitchen_d_sccl_6/000-0000000-0000000?psc=1,₹238.00,3.9 out of 5 stars
G1 Garbage Bags | Dustbin Bags | Medium | Black | 19 X 21 Inch | 4 Packs Of 30 pcs 120 pcs,https://www.amazon.in/G-1-Medium-Disposable-Garbage-Dustbin/dp/B077RJ1YMW/ref=zg_bs_g_kitchen_d_sccl_7/000-0000000-0000000?psc=1,₹215.00,4.2 out of 5 stars
Shalimar Premium Garbage Bags Size 19 x 21 Inches (Medium) 120 Bags (4 Rolls) Dustbin Bag/Trash Bag - Black Color,https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Rolls/dp/B07KT9Q54M/ref=zg_bs_g_kitchen_d_sccl_8/000-0000000-0000000?psc=1,₹299.00,4.5 out of 5 stars
"ATOM Digital Kitchen Food Weighing Scale For Healthy Living, Home Baking, Cooking, Fitness & Balanced Diet. | Weighing Scale With Digital Display Atom SF 400 10Kg x 1gms with 2 Batteries Included",https://www.amazon.in/Aliston-Electronic-Kitchen-Digital-Weighing-Scale/dp/B083C6XMKQ/ref=zg_bs_g_kitchen_d_sccl_9/000-0000000-0000000?psc=1,₹220.00,3.9 out of 5 stars
"BSB HOME® 200 TC 100% Cotton Feel Bedsheet for Double Bed with Two King Size Pillow Covers Soft/Breathable Wrinkel Free - 90x100 Inches - (Multicolour, Light Pink)",https://www.amazon.in/BSB-Cotton-Bedsheet-Breathable-Wrinkel/dp/B0B91B1LFY/ref=zg_bs_g_kitchen_d_sccl_10/000-0000000-0000000?psc=1,₹320.00,3.8 out of 5 stars
Amazon Brand - Solimo Round Wall Clock | Wooden Look | Plastic | 10 Inch | Brown,https://www.amazon.in/Amazon-Brand-Solimo-Wooden-Plastic/dp/B0CFY5SGX5/ref=zg_bs_g_kitchen_d_sccl_11/000-0000000-0000000?psc=1,₹228.00,3.8 out of 5 stars
"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",https://www.amazon.in/Pigeon-Stovekraft-Plastic-Chopper-Blades/dp/B01LWYDEQ7/ref=zg_bs_g_kitchen_d_sccl_12/000-0000000-0000000?psc=1,₹169.00,3.9 out of 5 stars
Godrej aer Spray | Room Freshener for Home & Office - Morning Misty Meadows (220 ml) | Long-Lasting Fragrance,https://www.amazon.in/Godrej-aer-Home-Freshener-Spray/dp/B00TFBHBHU/ref=zg_bs_g_kitchen_d_sccl_13/000-0000000-0000000?psc=1,₹99.00,4.1 out of 5 stars
Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3,https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q/ref=zg_bs_g_kitchen_d_sccl_14/000-0000000-0000000?psc=1,₹175.00,4.2 out of 5 stars
"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",https://www.amazon.in/Zulaxy-Drilling-Adhesive-Transparent-Stainless/dp/B0CCM8L54V/ref=zg_bs_g_kitchen_d_sccl_15/000-0000000-0000000?psc=1,₹274.00,3.8 out of 5 stars
"Wakefit 100% Waterproof Premium Cotton Mattress Protector | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector 78""x72"" - King, Grey",https://www.amazon.in/Wakefit-Waterproof-Protector-Breathable-Hypoallergenic/dp/B0C1S894S3/ref=zg_bs_g_kitchen_d_sccl_16/000-0000000-0000000?psc=1,₹999.00,4.4 out of 5 stars
NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jar 2 Blade),https://www.amazon.in/NutriPro-Juicer-Mixer-Grinder-Smoothie/dp/B09J2SCVQT/ref=zg_bs_g_kitchen_d_sccl_17/000-0000000-0000000?psc=1,"₹1,897.00",4.4 out of 5 stars
Fashion String 144 TC Microfibre Brown Single Bedsheet with 1 Pillow Cover,https://www.amazon.in/Fashion-String-Microfibre-Single-Bedsheet/dp/B085TN8SXV/ref=zg_bs_g_kitchen_d_sccl_18/000-0000000-0000000?psc=1,₹178.00,3.5 out of 5 stars
"Amazon Brand - Solimo Water Absorbent Non-Slip Bathmat | Bathroom Mat | Anti-Skid, Lightweight | Super Absorbent | 38 cms X 58 cms (Blue)",https://www.amazon.in/Amazon-Brand-Absorbent-Anti-Skid-Lightweight/dp/B0CZLHNR5M/ref=zg_bs_g_kitchen_d_sccl_19/000-0000000-0000000?psc=1,₹205.00,4.2 out of 5 stars
GLUN Magic 3D LED Night Lamp with Plug Smart Sensor auto On/Off and Color Change Mushroom Flowers Beautiful Illumination Home Decoration Lights for Bedroom Corridor (Multicolour) (Single Pack),https://www.amazon.in/GLUN-Beautiful-Illumination-Decoration-Multicolour/dp/B0846JTXYJ/ref=zg_bs_g_kitchen_d_sccl_20/000-0000000-0000000?psc=1,₹225.00,4.0 out of 5 stars
